,image1,image2,label
6139,demo\Data\LFW_Demo\Yao_Ming_0005.jpg,demo\Data\LFW_Demo\Yao_Ming_0002.jpg,1
4999,demo\Data\LFW_Demo\Vladimir_Putin_0008.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0040.jpg,1
1874,demo\Data\LFW_Demo\Samira_Makhmalbaf_0002.jpg,demo\Data\LFW_Demo\Tom_Reilly_0002.jpg,0
1769,demo\Data\LFW_Demo\Vladimir_Putin_0046.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0009.jpg,1
4762,demo\Data\LFW_Demo\Andre_Agassi_0012.jpg,demo\Data\LFW_Demo\Andre_Agassi_0008.jpg,1
2781,demo\Data\LFW_Demo\Michael_Shelby_0001.jpg,demo\Data\LFW_Demo\Renee_Zellweger_0004.jpg,0
1983,demo\Data\LFW_Demo\Vladimir_Putin_0002.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0017.jpg,1
6206,demo\Data\LFW_Demo\Amelie_Mauresmo_0005.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0009.jpg,1
5190,demo\Data\LFW_Demo\Guillermo_Coria_0030.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0018.jpg,1
3954,demo\Data\LFW_Demo\Guillermo_Coria_0022.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0020.jpg,1
731,demo\Data\LFW_Demo\Paul_Martin_0004.jpg,demo\Data\LFW_Demo\Paul_Wolfowitz_0001.jpg,0
4764,demo\Data\LFW_Demo\Andre_Agassi_0027.jpg,demo\Data\LFW_Demo\Dan_Morales_0003.jpg,0
4477,demo\Data\LFW_Demo\Andre_Agassi_0004.jpg,demo\Data\LFW_Demo\Andre_Agassi_0008.jpg,1
2531,demo\Data\LFW_Demo\Itzhak_Perlman_0001.jpg,demo\Data\LFW_Demo\Juan_Pablo_Montoya_0003.jpg,0
1255,demo\Data\LFW_Demo\Kimberly_Stewart_0001.jpg,demo\Data\LFW_Demo\George_W_Bush_0511.jpg,0
2104,demo\Data\LFW_Demo\Andre_Agassi_0030.jpg,demo\Data\LFW_Demo\Andre_Agassi_0005.jpg,1
5701,demo\Data\LFW_Demo\Guillermo_Coria_0005.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0027.jpg,1
4329,demo\Data\LFW_Demo\Mikhail_Kalashnikov_0001.jpg,demo\Data\LFW_Demo\Elizabeth_Smart_0004.jpg,0
898,demo\Data\LFW_Demo\Saddam_Hussein_0009.jpg,demo\Data\LFW_Demo\Saddam_Hussein_0023.jpg,1
428,demo\Data\LFW_Demo\Vladimir_Putin_0008.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0016.jpg,1
4934,demo\Data\LFW_Demo\Andre_Agassi_0019.jpg,demo\Data\LFW_Demo\Andre_Agassi_0004.jpg,1
6525,demo\Data\LFW_Demo\Amelie_Mauresmo_0017.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0004.jpg,1
5132,demo\Data\LFW_Demo\Vladimir_Putin_0005.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0015.jpg,1
5944,demo\Data\LFW_Demo\Carey_Lowell_0001.jpg,demo\Data\LFW_Demo\Charles_Taylor_0008.jpg,0
1222,demo\Data\LFW_Demo\Andre_Agassi_0030.jpg,demo\Data\LFW_Demo\Richard_Norton-Taylor_0002.jpg,0
4730,demo\Data\LFW_Demo\Richard_Virenque_0007.jpg,demo\Data\LFW_Demo\George_W_Bush_0312.jpg,0
3482,demo\Data\LFW_Demo\Vladimir_Putin_0043.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0038.jpg,1
3429,demo\Data\LFW_Demo\Guillermo_Coria_0029.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0015.jpg,1
3651,demo\Data\LFW_Demo\Saburo_Kawabuchi_0002.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0013.jpg,0
1096,demo\Data\LFW_Demo\Vladimir_Putin_0038.jpg,demo\Data\LFW_Demo\Martina_McBride_0002.jpg,0
2072,demo\Data\LFW_Demo\Andre_Agassi_0028.jpg,demo\Data\LFW_Demo\Andre_Agassi_0033.jpg,1
5931,demo\Data\LFW_Demo\Jaap_de_Hoop_Scheffer_0001.jpg,demo\Data\LFW_Demo\Kelvin_Sampson_0001.jpg,0
6247,demo\Data\LFW_Demo\Mark_Schweiker_0002.jpg,demo\Data\LFW_Demo\Bob_Huggins_0004.jpg,0
5538,demo\Data\LFW_Demo\Ann_Veneman_0010.jpg,demo\Data\LFW_Demo\Ann_Veneman_0011.jpg,1
1788,demo\Data\LFW_Demo\Vladimir_Putin_0005.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0032.jpg,1
5544,demo\Data\LFW_Demo\Andre_Agassi_0003.jpg,demo\Data\LFW_Demo\Andre_Agassi_0006.jpg,1
3816,demo\Data\LFW_Demo\Ann_Veneman_0011.jpg,demo\Data\LFW_Demo\Bill_Clinton_0012.jpg,0
2718,demo\Data\LFW_Demo\Guillermo_Coria_0015.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0030.jpg,1
192,demo\Data\LFW_Demo\Saddam_Hussein_0007.jpg,demo\Data\LFW_Demo\Saddam_Hussein_0017.jpg,1
2338,demo\Data\LFW_Demo\Bob_Graham_0006.jpg,demo\Data\LFW_Demo\Nelson_Shanks_0001.jpg,0
1126,demo\Data\LFW_Demo\Matthew_Broderick_0003.jpg,demo\Data\LFW_Demo\George_W_Bush_0196.jpg,0
4129,demo\Data\LFW_Demo\Vladimir_Putin_0049.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0044.jpg,1
3275,demo\Data\LFW_Demo\Marianne_Stanley_0001.jpg,demo\Data\LFW_Demo\Tony_Blair_0100.jpg,0
3611,demo\Data\LFW_Demo\Guillermo_Coria_0009.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0011.jpg,1
304,demo\Data\LFW_Demo\Gordon_Brown_0008.jpg,demo\Data\LFW_Demo\Gordon_Brown_0006.jpg,1
4949,demo\Data\LFW_Demo\Patty_Duke_0001.jpg,demo\Data\LFW_Demo\Joschka_Fischer_0010.jpg,0
1292,demo\Data\LFW_Demo\Andre_Agassi_0034.jpg,demo\Data\LFW_Demo\Andre_Agassi_0009.jpg,1
70,demo\Data\LFW_Demo\Saddam_Hussein_0016.jpg,demo\Data\LFW_Demo\Saddam_Hussein_0018.jpg,1
5265,demo\Data\LFW_Demo\Andre_Agassi_0021.jpg,demo\Data\LFW_Demo\Goh_Kun_0001.jpg,0
3358,demo\Data\LFW_Demo\Saddam_Hussein_0015.jpg,demo\Data\LFW_Demo\John_Spencer_0001.jpg,0
3960,demo\Data\LFW_Demo\Carlos_Vives_0001.jpg,demo\Data\LFW_Demo\Bridgette_Wilson-Sampras_0002.jpg,0
831,demo\Data\LFW_Demo\Vladimir_Putin_0020.jpg,demo\Data\LFW_Demo\Bernard_Landry_0004.jpg,0
2656,demo\Data\LFW_Demo\Guillermo_Coria_0010.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0021.jpg,1
1456,demo\Data\LFW_Demo\Vladimir_Putin_0010.jpg,demo\Data\LFW_Demo\Bixente_LIzarazu_0001.jpg,0
3892,demo\Data\LFW_Demo\Andre_Agassi_0003.jpg,demo\Data\LFW_Demo\Ariel_Sharon_0047.jpg,0
238,demo\Data\LFW_Demo\Amelie_Mauresmo_0004.jpg,demo\Data\LFW_Demo\Alejandro_Avila_0001.jpg,0
92,demo\Data\LFW_Demo\Vladimir_Putin_0028.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0016.jpg,1
2323,demo\Data\LFW_Demo\Vladimir_Putin_0040.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0032.jpg,1
3012,demo\Data\LFW_Demo\Andre_Agassi_0002.jpg,demo\Data\LFW_Demo\Andre_Agassi_0013.jpg,1
2619,demo\Data\LFW_Demo\Gordon_Brown_0001.jpg,demo\Data\LFW_Demo\Gordon_Brown_0012.jpg,1
4534,demo\Data\LFW_Demo\Andre_Agassi_0006.jpg,demo\Data\LFW_Demo\Andre_Agassi_0002.jpg,1
2283,demo\Data\LFW_Demo\Thomas_Fargo_0002.jpg,demo\Data\LFW_Demo\John_Henry_0001.jpg,0
3801,demo\Data\LFW_Demo\Amelie_Mauresmo_0017.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0003.jpg,1
5082,demo\Data\LFW_Demo\Vladimir_Putin_0028.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0041.jpg,1
1001,demo\Data\LFW_Demo\Vladimir_Putin_0004.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0007.jpg,1
6303,demo\Data\LFW_Demo\Vladimir_Putin_0008.jpg,demo\Data\LFW_Demo\Kim_Jong-Il_0002.jpg,0
3764,demo\Data\LFW_Demo\Vladimir_Putin_0040.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0029.jpg,1
2197,demo\Data\LFW_Demo\Vladimir_Putin_0048.jpg,demo\Data\LFW_Demo\Bill_Kong_0001.jpg,0
1532,demo\Data\LFW_Demo\Pedro_Almodovar_0003.jpg,demo\Data\LFW_Demo\Pedro_Almodovar_0002.jpg,1
3827,demo\Data\LFW_Demo\Kara_Lynn_Joyce_0001.jpg,demo\Data\LFW_Demo\Colin_Powell_0219.jpg,0
411,demo\Data\LFW_Demo\Duncan_Fletcher_0001.jpg,demo\Data\LFW_Demo\George_W_Bush_0297.jpg,0
3686,demo\Data\LFW_Demo\Thomas_Fargo_0004.jpg,demo\Data\LFW_Demo\John_Allen_Muhammad_0007.jpg,0
6527,demo\Data\LFW_Demo\Torri_Edwards_0002.jpg,demo\Data\LFW_Demo\Zico_0002.jpg,0
4769,demo\Data\LFW_Demo\Ann_Morgan_0001.jpg,demo\Data\LFW_Demo\George_W_Bush_0430.jpg,0
2874,demo\Data\LFW_Demo\Andre_Agassi_0008.jpg,demo\Data\LFW_Demo\Sergei_Ivanov_0003.jpg,0
4307,demo\Data\LFW_Demo\Paul_Martin_0001.jpg,demo\Data\LFW_Demo\Jacques_Chirac_0010.jpg,0
5990,demo\Data\LFW_Demo\Vladimir_Putin_0010.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0015.jpg,1
4994,demo\Data\LFW_Demo\Mike_Myers_0001.jpg,demo\Data\LFW_Demo\Fernando_Henrique_Cardoso_0003.jpg,0
2821,demo\Data\LFW_Demo\Trevor_Watson_0001.jpg,demo\Data\LFW_Demo\Perry_Gibbs_0001.jpg,0
633,demo\Data\LFW_Demo\Jon_Corzine_0001.jpg,demo\Data\LFW_Demo\Hermogenes_Ebdane_Jr_0001.jpg,0
498,demo\Data\LFW_Demo\Asa_Hutchinson_0002.jpg,demo\Data\LFW_Demo\Armand_Sargen_0001.jpg,0
3934,demo\Data\LFW_Demo\Sarah_Jessica_Parker_0001.jpg,demo\Data\LFW_Demo\Colin_Powell_0002.jpg,0
720,demo\Data\LFW_Demo\Vladimir_Putin_0043.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0025.jpg,1
5251,demo\Data\LFW_Demo\Andre_Agassi_0012.jpg,demo\Data\LFW_Demo\Andre_Agassi_0004.jpg,1
757,demo\Data\LFW_Demo\Markus_Beyer_0001.jpg,demo\Data\LFW_Demo\Hans-Christian_Schmid_0001.jpg,0
3050,demo\Data\LFW_Demo\Thomas_Fargo_0001.jpg,demo\Data\LFW_Demo\Rick_Carlisle_0004.jpg,0
3856,demo\Data\LFW_Demo\Andre_Agassi_0004.jpg,demo\Data\LFW_Demo\Andre_Agassi_0027.jpg,1
3558,demo\Data\LFW_Demo\Amelie_Mauresmo_0003.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0011.jpg,1
4546,demo\Data\LFW_Demo\Lori_Berenson_0001.jpg,demo\Data\LFW_Demo\Arnoldo_Aleman_0001.jpg,0
5925,demo\Data\LFW_Demo\Peter_Ueberroth_0001.jpg,demo\Data\LFW_Demo\Terrell_Suggs_0002.jpg,0
596,demo\Data\LFW_Demo\Andre_Agassi_0025.jpg,demo\Data\LFW_Demo\Andre_Agassi_0029.jpg,1
5007,demo\Data\LFW_Demo\Ann_Veneman_0001.jpg,demo\Data\LFW_Demo\Ann_Veneman_0003.jpg,1
1068,demo\Data\LFW_Demo\Guillermo_Coria_0015.jpg,demo\Data\LFW_Demo\Norah_Jones_0010.jpg,0
1942,demo\Data\LFW_Demo\Richard_Virenque_0008.jpg,demo\Data\LFW_Demo\Richard_Virenque_0002.jpg,1
1647,demo\Data\LFW_Demo\Andre_Agassi_0014.jpg,demo\Data\LFW_Demo\Joe_Lieberman_0013.jpg,0
2647,demo\Data\LFW_Demo\Sarah_Jessica_Parker_0001.jpg,demo\Data\LFW_Demo\Sarah_Jessica_Parker_0004.jpg,1
1700,demo\Data\LFW_Demo\Sarah_Hughes_0001.jpg,demo\Data\LFW_Demo\John_Ashcroft_0040.jpg,0
5261,demo\Data\LFW_Demo\Hermann_Maier_0001.jpg,demo\Data\LFW_Demo\Janet_Ecker_0001.jpg,0
6193,demo\Data\LFW_Demo\Guillermo_Coria_0014.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0003.jpg,1
86,demo\Data\LFW_Demo\Martie_Maguire_0001.jpg,demo\Data\LFW_Demo\Tiger_Woods_0011.jpg,0
2337,demo\Data\LFW_Demo\Pedro_Almodovar_0004.jpg,demo\Data\LFW_Demo\Pete_Beaudrault_0001.jpg,0
3276,demo\Data\LFW_Demo\Guillermo_Coria_0010.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0015.jpg,1
1029,demo\Data\LFW_Demo\Kurt_Russell_0001.jpg,demo\Data\LFW_Demo\John_Walsh_0002.jpg,0
4639,demo\Data\LFW_Demo\Sarah_Jessica_Parker_0006.jpg,demo\Data\LFW_Demo\Ben_Glisan_0002.jpg,0
3270,demo\Data\LFW_Demo\Guillermo_Coria_0011.jpg,demo\Data\LFW_Demo\Gerhard_Schroeder_0066.jpg,0
2144,demo\Data\LFW_Demo\Andre_Agassi_0014.jpg,demo\Data\LFW_Demo\Francis_Ford_Coppola_0002.jpg,0
4481,demo\Data\LFW_Demo\Vladimir_Putin_0047.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0027.jpg,1
1200,demo\Data\LFW_Demo\Andre_Agassi_0012.jpg,demo\Data\LFW_Demo\Andre_Agassi_0023.jpg,1
2025,demo\Data\LFW_Demo\Vladimir_Putin_0049.jpg,demo\Data\LFW_Demo\Hugo_Chavez_0020.jpg,0
621,demo\Data\LFW_Demo\Juan_Valencia_Osorio_0001.jpg,demo\Data\LFW_Demo\Michelle_Chiklis_0001.jpg,0
5971,demo\Data\LFW_Demo\Matthew_Broderick_0004.jpg,demo\Data\LFW_Demo\James_Blake_0004.jpg,0
566,demo\Data\LFW_Demo\Guillermo_Coria_0013.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0030.jpg,1
1837,demo\Data\LFW_Demo\Vladimir_Putin_0047.jpg,demo\Data\LFW_Demo\Mike_Stefanik_0001.jpg,0
1334,demo\Data\LFW_Demo\Laura_Gobai_0001.jpg,demo\Data\LFW_Demo\George_W_Bush_0297.jpg,0
2589,demo\Data\LFW_Demo\Saddam_Hussein_0013.jpg,demo\Data\LFW_Demo\Saddam_Hussein_0015.jpg,1
6255,demo\Data\LFW_Demo\Vladimir_Putin_0042.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0008.jpg,1
2099,demo\Data\LFW_Demo\Matthew_Broderick_0001.jpg,demo\Data\LFW_Demo\Matthew_Broderick_0003.jpg,1
5503,demo\Data\LFW_Demo\Nanni_Moretti_0002.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0002.jpg,0
2284,demo\Data\LFW_Demo\Andre_Agassi_0027.jpg,demo\Data\LFW_Demo\Andre_Agassi_0035.jpg,1
3032,demo\Data\LFW_Demo\Guillermo_Coria_0020.jpg,demo\Data\LFW_Demo\George_W_Bush_0485.jpg,0
1688,demo\Data\LFW_Demo\Iain_Duncan_Smith_0002.jpg,demo\Data\LFW_Demo\Martha_Lucia_Ramirez_0003.jpg,0
745,demo\Data\LFW_Demo\Horst_Koehler_0001.jpg,demo\Data\LFW_Demo\Horst_Koehler_0003.jpg,1
2187,demo\Data\LFW_Demo\Yasser_Arafat_0001.jpg,demo\Data\LFW_Demo\Yasser_Arafat_0008.jpg,1
195,demo\Data\LFW_Demo\Saddam_Hussein_0014.jpg,demo\Data\LFW_Demo\Saddam_Hussein_0010.jpg,1
5516,demo\Data\LFW_Demo\Vladimir_Putin_0021.jpg,demo\Data\LFW_Demo\David_Heymann_0004.jpg,0
2288,demo\Data\LFW_Demo\Ray_Young_0001.jpg,demo\Data\LFW_Demo\Peter_Medgyessy_0001.jpg,0
4594,demo\Data\LFW_Demo\Paul_Martin_0007.jpg,demo\Data\LFW_Demo\Paul_Martin_0008.jpg,1
802,demo\Data\LFW_Demo\Guillermo_Coria_0023.jpg,demo\Data\LFW_Demo\Tom_Cruise_0008.jpg,0
3916,demo\Data\LFW_Demo\Vladimir_Putin_0013.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0009.jpg,1
5395,demo\Data\LFW_Demo\Saddam_Hussein_0007.jpg,demo\Data\LFW_Demo\Saddam_Hussein_0004.jpg,1
3855,demo\Data\LFW_Demo\Vladimir_Putin_0010.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0026.jpg,1
5065,demo\Data\LFW_Demo\Augusto_Pinochet_0001.jpg,demo\Data\LFW_Demo\Arlen_Specter_0003.jpg,0
644,demo\Data\LFW_Demo\Torri_Edwards_0002.jpg,demo\Data\LFW_Demo\Raja_Ramani_0001.jpg,0
6155,demo\Data\LFW_Demo\Guillermo_Coria_0012.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0018.jpg,1
4912,demo\Data\LFW_Demo\Carlos_Vives_0003.jpg,demo\Data\LFW_Demo\Alvaro_Uribe_0016.jpg,0
3024,demo\Data\LFW_Demo\Saddam_Hussein_0009.jpg,demo\Data\LFW_Demo\Saddam_Hussein_0019.jpg,1
5275,demo\Data\LFW_Demo\Vladimir_Putin_0042.jpg,demo\Data\LFW_Demo\Mahmoud_Abbas_0029.jpg,0
120,demo\Data\LFW_Demo\Andre_Agassi_0023.jpg,demo\Data\LFW_Demo\Andre_Agassi_0013.jpg,1
1777,demo\Data\LFW_Demo\Amelie_Mauresmo_0002.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0012.jpg,1
4714,demo\Data\LFW_Demo\Denise_Johnson_0002.jpg,demo\Data\LFW_Demo\Saddam_Hussein_0017.jpg,0
5271,demo\Data\LFW_Demo\Andre_Agassi_0014.jpg,demo\Data\LFW_Demo\Andre_Agassi_0007.jpg,1
2135,demo\Data\LFW_Demo\Christina_Sawaya_0001.jpg,demo\Data\LFW_Demo\William_Donaldson_0004.jpg,0
3350,demo\Data\LFW_Demo\Vladimir_Putin_0031.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0038.jpg,1
3882,demo\Data\LFW_Demo\Sarah_Hughes_0004.jpg,demo\Data\LFW_Demo\Sarah_Hughes_0002.jpg,1
134,demo\Data\LFW_Demo\Gordon_Brown_0004.jpg,demo\Data\LFW_Demo\Gordon_Brown_0003.jpg,1
5842,demo\Data\LFW_Demo\Guillermo_Coria_0009.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0019.jpg,1
2937,demo\Data\LFW_Demo\Fujio_Cho_0004.jpg,demo\Data\LFW_Demo\Fujio_Cho_0006.jpg,1
3765,demo\Data\LFW_Demo\Jung_Bong_0001.jpg,demo\Data\LFW_Demo\Ian_Smith_0001.jpg,0
62,demo\Data\LFW_Demo\Saddam_Hussein_0012.jpg,demo\Data\LFW_Demo\Gerhard_Schroeder_0027.jpg,0
4269,demo\Data\LFW_Demo\Max_Mayfield_0001.jpg,demo\Data\LFW_Demo\Max_Mayfield_0002.jpg,1
5711,demo\Data\LFW_Demo\Vladimir_Putin_0036.jpg,demo\Data\LFW_Demo\Tom_Craddick_0003.jpg,0
5466,demo\Data\LFW_Demo\Thomas_Fargo_0003.jpg,demo\Data\LFW_Demo\Bill_Clinton_0019.jpg,0
2907,demo\Data\LFW_Demo\Thomas_Ferguson_0001.jpg,demo\Data\LFW_Demo\Oscar_Elias_Biscet_0001.jpg,0
679,demo\Data\LFW_Demo\Jerry_Springer_0003.jpg,demo\Data\LFW_Demo\Gunter_Pleuger_0002.jpg,0
3237,demo\Data\LFW_Demo\Andre_Agassi_0035.jpg,demo\Data\LFW_Demo\Darrell_Porter_0002.jpg,0
741,demo\Data\LFW_Demo\Spike_Lee_0001.jpg,demo\Data\LFW_Demo\Steven_Tyler_0001.jpg,0
1211,demo\Data\LFW_Demo\Vladimir_Putin_0012.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0030.jpg,1
2170,demo\Data\LFW_Demo\Saddam_Hussein_0017.jpg,demo\Data\LFW_Demo\Saddam_Hussein_0013.jpg,1
3193,demo\Data\LFW_Demo\Romain_Duris_0001.jpg,demo\Data\LFW_Demo\Nicholas_Byron_0002.jpg,0
4584,demo\Data\LFW_Demo\Andre_Agassi_0021.jpg,demo\Data\LFW_Demo\Andre_Agassi_0029.jpg,1
567,demo\Data\LFW_Demo\Ken_Kutaragi_0001.jpg,demo\Data\LFW_Demo\Gloria_Allred_0002.jpg,0
1873,demo\Data\LFW_Demo\Vladimir_Putin_0048.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0028.jpg,1
2846,demo\Data\LFW_Demo\Guillermo_Coria_0005.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0024.jpg,1
1717,demo\Data\LFW_Demo\Vladimir_Putin_0031.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0003.jpg,1
1392,demo\Data\LFW_Demo\Vladimir_Putin_0013.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0040.jpg,1
4922,demo\Data\LFW_Demo\Vladimir_Putin_0031.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0018.jpg,1
2440,demo\Data\LFW_Demo\Richard_Lugar_0001.jpg,demo\Data\LFW_Demo\Sonia_Gandhi_0003.jpg,0
489,demo\Data\LFW_Demo\Saddam_Hussein_0006.jpg,demo\Data\LFW_Demo\Saddam_Hussein_0021.jpg,1
4450,demo\Data\LFW_Demo\Horst_Koehler_0002.jpg,demo\Data\LFW_Demo\Eduardo_Chillida_0001.jpg,0
690,demo\Data\LFW_Demo\Vladimir_Putin_0032.jpg,demo\Data\LFW_Demo\Nicholas_Tse_0002.jpg,0
2917,demo\Data\LFW_Demo\Muhammad_Ali_0001.jpg,demo\Data\LFW_Demo\Mary_Descenza_0001.jpg,0
602,demo\Data\LFW_Demo\Michael_Douglas_0002.jpg,demo\Data\LFW_Demo\William_Bratton_0003.jpg,0
1911,demo\Data\LFW_Demo\Guillermo_Coria_0027.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0014.jpg,1
3698,demo\Data\LFW_Demo\Amelie_Mauresmo_0011.jpg,demo\Data\LFW_Demo\Roy_Williams_0003.jpg,0
2669,demo\Data\LFW_Demo\Amelie_Mauresmo_0013.jpg,demo\Data\LFW_Demo\George_W_Bush_0382.jpg,0
4638,demo\Data\LFW_Demo\Andre_Agassi_0014.jpg,demo\Data\LFW_Demo\Andre_Agassi_0013.jpg,1
1187,demo\Data\LFW_Demo\Andre_Agassi_0002.jpg,demo\Data\LFW_Demo\Filip_De_Winter_0001.jpg,0
274,demo\Data\LFW_Demo\Yao_Ming_0003.jpg,demo\Data\LFW_Demo\Yao_Ming_0004.jpg,1
3431,demo\Data\LFW_Demo\Guillermo_Coria_0021.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0019.jpg,1
1361,demo\Data\LFW_Demo\Sarah_Hughes_0005.jpg,demo\Data\LFW_Demo\Diana_Munz_0003.jpg,0
3834,demo\Data\LFW_Demo\Gordon_Brown_0003.jpg,demo\Data\LFW_Demo\Gordon_Brown_0008.jpg,1
1526,demo\Data\LFW_Demo\Vladimir_Putin_0024.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0013.jpg,1
2865,demo\Data\LFW_Demo\Vladimir_Putin_0005.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0023.jpg,1
2815,demo\Data\LFW_Demo\Andre_Agassi_0004.jpg,demo\Data\LFW_Demo\Andre_Agassi_0036.jpg,1
3615,demo\Data\LFW_Demo\Jaqueline_Godoy_0001.jpg,demo\Data\LFW_Demo\Kofi_Annan_0010.jpg,0
4701,demo\Data\LFW_Demo\Vladimir_Putin_0001.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0025.jpg,1
6073,demo\Data\LFW_Demo\Thomas_Fargo_0002.jpg,demo\Data\LFW_Demo\Donald_Rumsfeld_0089.jpg,0
6180,demo\Data\LFW_Demo\Nadia_Petrova_0004.jpg,demo\Data\LFW_Demo\Hitomi_Soga_0002.jpg,0
3917,demo\Data\LFW_Demo\Ed_Rendell_0001.jpg,demo\Data\LFW_Demo\Jennifer_Connelly_0003.jpg,0
945,demo\Data\LFW_Demo\Guillermo_Coria_0010.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0022.jpg,1
5157,demo\Data\LFW_Demo\Andre_Agassi_0003.jpg,demo\Data\LFW_Demo\Andre_Agassi_0020.jpg,1
2250,demo\Data\LFW_Demo\Pedro_Almodovar_0003.jpg,demo\Data\LFW_Demo\Wayne_Gretzky_0003.jpg,0
3003,demo\Data\LFW_Demo\Joaquin_Sanchez_0001.jpg,demo\Data\LFW_Demo\S_Jayakumar_0001.jpg,0
2628,demo\Data\LFW_Demo\Paul_Krueger_0001.jpg,demo\Data\LFW_Demo\Ray_Price_0001.jpg,0
68,demo\Data\LFW_Demo\Moby_0001.jpg,demo\Data\LFW_Demo\Naji_Sabri_0001.jpg,0
4800,demo\Data\LFW_Demo\Sarah_Jessica_Parker_0001.jpg,demo\Data\LFW_Demo\Mike_Krzyzewski_0002.jpg,0
5546,demo\Data\LFW_Demo\Gordon_Brown_0007.jpg,demo\Data\LFW_Demo\Gordon_Brown_0009.jpg,1
1598,demo\Data\LFW_Demo\Vladimir_Putin_0048.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0035.jpg,1
4516,demo\Data\LFW_Demo\Amelie_Mauresmo_0002.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0010.jpg,1
3592,demo\Data\LFW_Demo\Joe_Torre_0004.jpg,demo\Data\LFW_Demo\Joe_Torre_0001.jpg,1
4245,demo\Data\LFW_Demo\King_Abdullah_II_0002.jpg,demo\Data\LFW_Demo\Carlos_Ortega_0003.jpg,0
1503,demo\Data\LFW_Demo\Shaun_Pollock_0001.jpg,demo\Data\LFW_Demo\Michelle_Rodriguez_0001.jpg,0
2498,demo\Data\LFW_Demo\Gary_Condit_0001.jpg,demo\Data\LFW_Demo\Prince_Claus_0002.jpg,0
150,demo\Data\LFW_Demo\Saburo_Kawabuchi_0001.jpg,demo\Data\LFW_Demo\Lea_Fastow_0002.jpg,0
2458,demo\Data\LFW_Demo\Andre_Agassi_0017.jpg,demo\Data\LFW_Demo\Andre_Agassi_0014.jpg,1
2086,demo\Data\LFW_Demo\Gordon_Brown_0005.jpg,demo\Data\LFW_Demo\Lino_Oviedo_0003.jpg,0
5984,demo\Data\LFW_Demo\Vladimir_Putin_0044.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0039.jpg,1
2259,demo\Data\LFW_Demo\Andre_Agassi_0024.jpg,demo\Data\LFW_Demo\Francis_Mer_0002.jpg,0
2633,demo\Data\LFW_Demo\Andre_Agassi_0004.jpg,demo\Data\LFW_Demo\Andre_Agassi_0031.jpg,1
2596,demo\Data\LFW_Demo\Andre_Agassi_0021.jpg,demo\Data\LFW_Demo\Andre_Agassi_0025.jpg,1
